Segment,RMS,SpectralCentroid,NoteType
727,0.08020321117648672,64.83489787827585,Hold
730,0.08818225549820488,73.28824570260076,Hold
733,0.09120959078965382,63.878221342563386,Hold
740,0.11061170267192848,51.41060727696428,Tap
757,0.10704151998066513,66.59651983579815,Tap
759,0.1301802642313636,62.298123552801805,Tap
761,0.11685745905083444,54.04771542406278,Tap
762,0.10443195772674783,60.027033317128534,Tap
763,0.0761026881150958,65.03535036567858,Hold
766,0.10022029500202267,67.50760292271964,Tap
767,0.10574965536551142,61.713155878267294,Tap
768,0.07316795323236128,71.10764189843583,Hold
775,0.10140673056076206,61.138740102929894,Tap
777,0.13210969806508338,50.589426411067414,Tap
787,0.07622818241350428,62.82953821768438,Hold
791,0.09994817175817923,70.02988213627444,Hold
796,0.10654311466480637,58.54454319925928,Tap
801,0.08483599303787803,66.54033420828969,Hold
